10,3,2,3,1,3,3,3,1,2,3,3,1,2,3,1,3,2,1,3,1,15,78,78,78,78,78,78,78,10,3,3,3,3,3,3,3,2,3,3,3,3,3,1,1,1,1,1,1,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,78,78,78,78,78,78,78,78,78,78
0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,15,78,78,78,78,78,78,78,10,11,13,12,13,12,13,12,12,12,13,12,12,12,13,12,12,13,23,22,13,13,12,13,12,12,12,13,12,12,13,13,13,12,12,13,12,12,12,14,25,78,78,78,78,78,78,78,78,78,78
0,23,23,23,23,23,23,23,23,23,23,23,97,23,23,23,23,23,23,23,23,15,78,78,78,78,78,78,78,10,22,23,23,23,23,23,23,23,23,23,22,22,23,23,86,23,22,23,23,23,23,23,23,23,23,22,23,23,98,23,23,23,23,23,23,23,23,22,24,15,78,78,78,78,78,78,78,78,78,78
10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,15,78,78,78,78,78,78,78,10,22,23,23,23,23,23,22,22,22,23,97,23,22,23,23,23,23,23,23,23,23,23,23,96,22,23,23,23,23,23,23,23,23,23,23,86,86,22,24,15,78,78,78,78,78,78,78,78,78,78
0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,15,78,78,78,78,78,78,78,10,22,22,96,22,22,22,23,22,23,23,23,22,23,23,23,23,23,23,23,23,22,23,23,23,23,23,22,23,23,22,22,23,22,23,23,23,23,23,24,25,78,78,78,78,10,1,1,1,1,1
10,23,23,23,23,23,23,23,23,23,23,23,23,50,53,23,23,23,96,23,23,1,1,1,1,1,1,1,1,2,23,23,22,23,23,23,33,23,33,33,33,33,23,33,33,23,23,23,33,33,33,33,23,33,33,33,23,33,33,33,33,23,23,23,23,23,23,23,24,15,78,78,78,78,10,11,12,12,12,12
0,23,23,23,23,23,23,23,23,23,23,23,23,15,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,23,22,22,22,23,22,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,55,3,2,3,66,67,2,3,2,15,78,78,78,78,10,21,86,23,23,23
10,23,23,23,23,23,23,23,23,23,23,23,23,15,10,23,23,23,23,23,23,23,23,23,23,23,86,23,22,23,23,22,97,23,22,22,15,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,30,21,22,23,23,23,23,23,24,25,78,78,78,78,10,21,23,23,23,23
10,23,23,98,23,23,23,23,23,23,23,23,23,15,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,15,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,30,21,23,23,23,98,23,23,24,15,78,78,78,78,10,21,23,23,86,23
0,23,23,23,23,23,23,23,23,23,23,23,23,15,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,45,78,78,78,30,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,23,23,23,23,23,23,24,25,78,78,78,78,10,21,23,23,23,23
40,51,51,51,51,51,51,51,51,51,51,51,51,45,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,10,11,13,13,13,13,23,13,23,13,13,13,13,13,23,13,23,23,13,13,13,22,23,23,23,23,23,23,24,15,78,78,78,78,10,21,86,23,23,23
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,20,21,23,23,98,23,23,23,23,23,23,23,23,23,23,23,22,23,22,22,22,22,23,23,23,23,23,23,24,15,78,78,78,78,10,21,23,23,23,23
