0,1,2,3,1,1,1,2,3,1,2,3,2,4,4,3,2,1,2,2,3,2,4,4,4,1,2,2,1,5
10,21,21,21,21,21,21,21,21,21,21,21,21,21,15,10,21,21,21,21,21,21,21,21,21,21,21,21,21,15
0,21,21,22,21,21,21,21,21,21,21,21,21,22,25,10,21,21,21,21,21,21,21,21,21,21,21,21,21,15
10,21,21,22,22,21,22,21,21,21,21,21,21,21,15,20,21,21,21,21,22,21,21,21,21,22,21,21,21,5
0,21,21,21,21,22,21,21,21,21,21,21,22,21,25,10,21,21,21,22,21,21,21,21,21,22,21,21,21,5
0,21,21,21,21,21,22,21,21,21,21,21,22,22,15,40,41,42,41,42,41,53,21,21,21,21,21,21,21,5
30,21,21,21,21,21,21,22,21,21,21,21,21,21,15,10,2,2,2,2,5,10,21,21,21,21,21,21,21,15
30,21,21,21,21,22,22,21,22,21,21,21,21,22,25,10,21,21,21,22,15,20,21,21,21,21,21,21,22,5
30,21,21,21,22,22,21,21,21,22,22,21,21,21,15,20,21,21,22,21,15,10,22,21,21,21,21,21,21,5
30,21,21,22,21,21,21,21,21,21,21,22,21,21,15,10,22,22,21,21,3,3,21,21,21,21,21,21,21,15
20,21,21,21,21,21,21,21,21,22,22,22,21,22,25,10,21,21,21,21,21,21,21,21,21,21,21,21,21,5
30,22,22,21,24,24,24,22,1,3,22,22,22,21,4,3,21,21,21,21,21,22,22,22,22,21,21,21,21,5
20,21,21,21,21,21,21,21,15,10,21,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,15
30,21,21,21,21,21,21,21,25,20,14,21,21,21,21,21,21,21,21,21,50,44,42,42,44,44,3,44,42,5
30,21,21,21,21,21,21,22,25,20,14,21,21,21,21,21,21,22,21,21,1,3,2,4,3,4,3,2,3,15
20,21,21,21,21,22,21,21,15,10,11,21,21,22,22,21,22,21,21,21,21,21,21,21,21,21,21,21,21,5
30,21,21,22,21,21,21,22,25,20,13,21,21,21,21,21,21,21,21,21,21,21,21,22,21,21,21,22,21,5
30,21,21,21,21,21,21,21,15,10,13,21,22,21,21,21,21,21,21,21,21,21,21,21,21,22,21,21,21,35
30,21,21,21,21,21,21,21,15,10,11,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,25
40,41,42,41,42,41,42,44,45,40,41,43,41,41,43,41,43,43,41,43,43,41,41,43,41,43,12,12,12,35
